,Area,Area_code,Area_name,Year,Sex,Age,MYE
41569,Super Data Zones,N21000222,Ormiston_D,2024,All Persons,All ages,2198
41584,Super Data Zones,N21000223,Ormiston_E,2024,All Persons,All ages,1935
41599,Super Data Zones,N21000224,Ormiston_F,2024,All Persons,All ages,2513
41614,Super Data Zones,N21000225,Ormiston_G,2024,All Persons,All ages,2070
41629,Super Data Zones,N21000226,Ormiston_H,2024,All Persons,All ages,1875
41644,Super Data Zones,N21000227,Ormiston_J,2024,All Persons,All ages,1929
41659,Super Data Zones,N21000228,Ormiston_K,2024,All Persons,All ages,1924
41674,Super Data Zones,N21000229,Ormiston_L,2024,All Persons,All ages,2043
41689,Super Data Zones,N21000230,Ormiston_N,2024,All Persons,All ages,2267
41704,Super Data Zones,N21000231,Ormiston_P,2024,All Persons,All ages,2226
41719,Super Data Zones,N21000232,Ormiston_Q,2024,All Persons,All ages,1061
41734,Super Data Zones,N21000233,Ormiston_R,2024,All Persons,All ages,1763
41749,Super Data Zones,N21000234,Ormiston_S,2024,All Persons,All ages,1825
41764,Super Data Zones,N21000235,Ormiston_T,2024,All Persons,All ages,2194
41779,Super Data Zones,N21000236,Lisnasharragh_A,2024,All Persons,All ages,1697
41794,Super Data Zones,N21000237,Lisnasharragh_B,2024,All Persons,All ages,2535
41809,Super Data Zones,N21000238,Lisnasharragh_C,2024,All Persons,All ages,1288
41824,Super Data Zones,N21000239,Lisnasharragh_D,2024,All Persons,All ages,1578
41839,Super Data Zones,N21000240,Lisnasharragh_E,2024,All Persons,All ages,1820
41854,Super Data Zones,N21000241,Lisnasharragh_F,2024,All Persons,All ages,1823
41869,Super Data Zones,N21000242,Lisnasharragh_G,2024,All Persons,All ages,1578
41884,Super Data Zones,N21000243,Lisnasharragh_H,2024,All Persons,All ages,1208
41899,Super Data Zones,N21000244,Lisnasharragh_J,2024,All Persons,All ages,1884
41914,Super Data Zones,N21000245,Lisnasharragh_K,2024,All Persons,All ages,2002
41929,Super Data Zones,N21000246,Lisnasharragh_L,2024,All Persons,All ages,1832
41944,Super Data Zones,N21000247,Lisnasharragh_N,2024,All Persons,All ages,2711
41959,Super Data Zones,N21000248,Lisnasharragh_P,2024,All Persons,All ages,2631
41974,Super Data Zones,N21000249,Lisnasharragh_Q,2024,All Persons,All ages,1824
41989,Super Data Zones,N21000250,Lisnasharragh_R,2024,All Persons,All ages,2383
42004,Super Data Zones,N21000251,Botanic_A,2024,All Persons,All ages,4087
42019,Super Data Zones,N21000252,Botanic_B,2024,All Persons,All ages,1603
42034,Super Data Zones,N21000253,Botanic_C,2024,All Persons,All ages,2613
42049,Super Data Zones,N21000254,Botanic_D,2024,All Persons,All ages,1862
42064,Super Data Zones,N21000255,Botanic_E,2024,All Persons,All ages,2023
42079,Super Data Zones,N21000256,Botanic_F,2024,All Persons,All ages,1999
42094,Super Data Zones,N21000257,Botanic_G,2024,All Persons,All ages,1676
42109,Super Data Zones,N21000258,Botanic_H,2024,All Persons,All ages,3574
42124,Super Data Zones,N21000259,Botanic_J,2024,All Persons,All ages,2432
42139,Super Data Zones,N21000260,Botanic_K,2024,All Persons,All ages,2270
42154,Super Data Zones,N21000261,Botanic_L,2024,All Persons,All ages,2227
42169,Super Data Zones,N21000262,Botanic_N,2024,All Persons,All ages,3365
42184,Super Data Zones,N21000263,Botanic_P,2024,All Persons,All ages,2284
42199,Super Data Zones,N21000264,Botanic_Q,2024,All Persons,All ages,2598
42214,Super Data Zones,N21000265,Botanic_R,2024,All Persons,All ages,2969
42229,Super Data Zones,N21000266,Botanic_S,2024,All Persons,All ages,2223
42244,Super Data Zones,N21000267,Botanic_T,2024,All Persons,All ages,1782
42259,Super Data Zones,N21000268,Botanic_U,2024,All Persons,All ages,1337
42274,Super Data Zones,N21000269,Botanic_W,2024,All Persons,All ages,2348
42289,Super Data Zones,N21000270,Botanic_X,2024,All Persons,All ages,4139
42304,Super Data Zones,N21000271,Botanic_Y,2024,All Persons,All ages,3048
42319,Super Data Zones,N21000272,Botanic_Z,2024,All Persons,All ages,1745
42334,Super Data Zones,N21000273,Balmoral_A,2024,All Persons,All ages,2275
42349,Super Data Zones,N21000274,Balmoral_B,2024,All Persons,All ages,1243
42364,Super Data Zones,N21000275,Balmoral_C,2024,All Persons,All ages,1719
42379,Super Data Zones,N21000276,Balmoral_D,2024,All Persons,All ages,2023
42394,Super Data Zones,N21000277,Balmoral_E,2024,All Persons,All ages,2249
42409,Super Data Zones,N21000278,Balmoral_F,2024,All Persons,All ages,1969
42424,Super Data Zones,N21000279,Balmoral_G,2024,All Persons,All ages,1921
42439,Super Data Zones,N21000280,Balmoral_H,2024,All Persons,All ages,1512
42454,Super Data Zones,N21000281,Balmoral_J,2024,All Persons,All ages,2166
42469,Super Data Zones,N21000282,Balmoral_K,2024,All Persons,All ages,1442
42484,Super Data Zones,N21000283,Balmoral_L,2024,All Persons,All ages,2036
42499,Super Data Zones,N21000284,Balmoral_N,2024,All Persons,All ages,2034
42514,Super Data Zones,N21000285,Balmoral_P,2024,All Persons,All ages,1886
42529,Super Data Zones,N21000286,Collin_A,2024,All Persons,All ages,1702
42544,Super Data Zones,N21000287,Collin_B,2024,All Persons,All ages,2991
42559,Super Data Zones,N21000288,Collin_C,2024,All Persons,All ages,1872
42574,Super Data Zones,N21000289,Collin_D,2024,All Persons,All ages,2312
42589,Super Data Zones,N21000290,Collin_E,2024,All Persons,All ages,2212
42604,Super Data Zones,N21000291,Collin_F,2024,All Persons,All ages,1800
42619,Super Data Zones,N21000292,Collin_G,2024,All Persons,All ages,2673
42634,Super Data Zones,N21000293,Collin_H,2024,All Persons,All ages,2804
42649,Super Data Zones,N21000294,Collin_J,2024,All Persons,All ages,2137
42664,Super Data Zones,N21000295,Collin_K,2024,All Persons,All ages,2147
42679,Super Data Zones,N21000296,Collin_L,2024,All Persons,All ages,2119
42694,Super Data Zones,N21000297,Collin_N,2024,All Persons,All ages,2655
42709,Super Data Zones,N21000298,Collin_P,2024,All Persons,All ages,2422
42724,Super Data Zones,N21000299,Collin_Q,2024,All Persons,All ages,2336
42739,Super Data Zones,N21000300,Collin_R,2024,All Persons,All ages,1822
42754,Super Data Zones,N21000301,Black_Mountain_A,2024,All Persons,All ages,3077
42769,Super Data Zones,N21000302,Black_Mountain_B,2024,All Persons,All ages,2089
42784,Super Data Zones,N21000303,Black_Mountain_C,2024,All Persons,All ages,1877
42799,Super Data Zones,N21000304,Black_Mountain_D,2024,All Persons,All ages,2659
42814,Super Data Zones,N21000305,Black_Mountain_E,2024,All Persons,All ages,2311
42829,Super Data Zones,N21000306,Black_Mountain_F,2024,All Persons,All ages,2332
42844,Super Data Zones,N21000307,Black_Mountain_G,2024,All Persons,All ages,2784
42859,Super Data Zones,N21000308,Black_Mountain_H,2024,All Persons,All ages,2204
42874,Super Data Zones,N21000309,Black_Mountain_J,2024,All Persons,All ages,2568
42889,Super Data Zones,N21000310,Black_Mountain_K,2024,All Persons,All ages,1932
